"id_new","age","gender","tenure","region","dl","has_v_insurance","v_age","v_accident","v_prem_quote","cs_rep"
"a00020460",46,"male",124,6,1,0,"1-2 year","yes",26226.0,163
"a00020461",25,"female",285,46,1,0,"< 1 year","yes",44564.0,154
"a00020462",42,"male",95,28,1,1,"1-2 year","no",30796.0,122
"a00020463",39,"female",229,26,1,0,"1-2 year","yes",35669.0,163
"a00020464",42,"male",114,28,1,0,"1-2 year","yes",32039.0,122
"a00020465",48,"female",29,28,1,0,"1-2 year","yes",29443.0,122
"a00020466",48,"male",73,28,1,0,"1-2 year","yes",29119.0,163
"a00020467",47,"male",47,28,1,0,"1-2 year","yes",27728.0,154
"a00020468",64,"male",289,28,1,0,"1-2 year","yes",52412.0,122
"a00020469",23,"female",139,37,1,1,"< 1 year","no",30618.0,151
"a00020470",23,"male",231,36,1,1,"< 1 year","no",31572.0,151
"a00020471",53,"male",220,28,1,0,"1-2 year","yes",46582.0,154
"a00020472",29,"female",90,36,1,1,"< 1 year","no",27655.0,151
"a00020473",56,"male",242,28,1,0,"1-2 year","yes",31807.0,122
"a00020474",40,"male",163,30,1,0,"1-2 year","yes",26588.0,163
"a00020475",40,"male",29,35,1,0,"1-2 year","yes",32497.0,163
"a00020476",59,"male",196,34,1,0,"1-2 year","yes",36762.0,154
"a00020477",37,"male",176,28,1,0,"1-2 year","yes",68350.0,122
"a00020478",51,"male",91,24,1,1,"1-2 year","yes",44487.0,122
"a00020479",53,"male",235,28,1,0,"> 2 years","yes",29598.0,122
"a00020480",57,"male",187,48,1,0,"> 2 years","yes",2630.0,154
"a00020481",23,"female",294,6,1,1,"< 1 year","yes",2630.0,151
"a00020482",28,"female",259,28,1,0,"1-2 year","yes",2630.0,122
"a00020483",52,"male",128,9,1,0,"1-2 year","yes",35278.0,122
"a00020484",23,"female",51,36,1,0,"< 1 year","yes",54964.0,151
"a00020485",31,"male",23,41,1,0,"< 1 year","no",2630.0,154
"a00020486",48,"female",267,35,1,1,"1-2 year","yes",21511.0,163
"a00020487",56,"male",51,28,1,1,"1-2 year","no",53235.0,122
"a00020488",35,"female",46,30,1,0,"1-2 year","yes",2630.0,154
"a00020489",70,"female",209,28,1,0,"> 2 years","yes",62021.0,122
"a00020490",46,"female",184,8,1,0,"1-2 year","yes",41680.0,154
"a00020491",56,"female",134,33,1,0,"> 2 years","yes",35019.0,122
"a00020492",62,"male",27,28,1,1,"1-2 year","no",2630.0,122
"a00020493",75,"female",202,46,1,1,"1-2 year","no",50545.0,122
"a00020494",28,"female",233,28,1,0,"1-2 year","yes",46936.0,154
"a00020495",39,"male",206,28,1,0,"1-2 year","yes",56384.0,122
"a00020496",35,"female",245,28,1,0,"1-2 year","yes",24525.0,154
"a00020497",23,"male",175,45,1,1,"< 1 year","no",32876.0,151
"a00020498",55,"male",115,28,1,1,"1-2 year","no",31447.0,154
"a00020499",24,"female",231,47,1,0,"< 1 year","yes",36720.0,154
"a00020500",44,"male",183,23,1,0,"1-2 year","yes",40090.0,163
"a00020501",45,"female",69,7,1,0,"1-2 year","yes",17637.0,163
"a00020502",40,"female",164,28,1,0,"1-2 year","no",32251.0,122
"a00020503",33,"male",85,8,1,0,"< 1 year","yes",48564.0,154
"a00020504",38,"female",240,8,1,0,"1-2 year","yes",27245.0,154
"a00020505",53,"female",168,17,1,1,"1-2 year","no",48158.0,154
