"id_new","buy","age","gender","tenure","region","dl","has_v_insurance","v_age","v_accident","v_prem_quote","cs_rep"
"a00000000",0,34,"female",31,19,1,0,"1-2 year","yes",27715.0,154
"a00000001",0,50,"male",211,34,1,0,"1-2 year","yes",33945.0,154
"a00000002",0,42,"female",122,29,1,0,"1-2 year","yes",37577.0,163
"a00000003",0,28,"male",75,3,1,0,"1-2 year","yes",2630.0,154
"a00000004",0,75,"female",19,28,1,0,"1-2 year","yes",47511.0,122
"a00000005",0,25,"male",55,45,1,1,"< 1 year","no",32423.0,151
"a00000006",0,34,"male",246,28,1,1,"1-2 year","no",59404.0,122
"a00000007",0,76,"male",148,28,1,0,"1-2 year","yes",48910.0,122
"a00000008",0,42,"male",292,28,1,0,"1-2 year","yes",29834.0,122
"a00000009",1,50,"male",127,28,1,0,"> 2 years","yes",56986.0,122
"a00000010",0,26,"male",223,4,1,0,"1-2 year","yes",24956.0,163
"a00000011",0,39,"female",85,35,1,0,"1-2 year","yes",32246.0,122
"a00000012",0,69,"male",173,28,1,0,"1-2 year","yes",79554.0,122
"a00000013",1,32,"female",275,28,1,0,"1-2 year","yes",33011.0,122
"a00000014",1,42,"female",45,28,1,0,"1-2 year","yes",2630.0,154
"a00000015",0,49,"male",224,28,1,0,"1-2 year","yes",38464.0,122
"a00000016",1,47,"female",235,28,1,0,"> 2 years","yes",31301.0,122
"a00000017",0,45,"male",298,28,1,0,"1-2 year","no",35657.0,122
"a00000018",0,36,"female",193,28,1,0,"1-2 year","yes",56580.0,122
"a00000019",0,31,"female",138,26,1,1,"< 1 year","no",28422.0,151
"a00000020",0,51,"female",213,45,1,0,"1-2 year","no",68465.0,154
"a00000021",0,45,"male",34,28,1,0,"1-2 year","yes",38309.0,122
"a00000022",0,39,"female",74,10,1,0,"1-2 year","yes",2630.0,154
"a00000023",0,24,"male",181,46,1,1,"1-2 year","no",36977.0,154
"a00000024",1,53,"male",197,28,1,0,"> 2 years","yes",38572.0,122
"a00000025",0,70,"female",121,28,1,0,"1-2 year","yes",50910.0,122
"a00000026",0,46,"male",236,28,1,0,"1-2 year","yes",39044.0,122
"a00000027",0,63,"male",167,28,1,0,"1-2 year","yes",40626.0,154
"a00000028",0,33,"female",213,41,1,0,"< 1 year","yes",32627.0,122
"a00000029",0,24,"male",118,27,1,1,"< 1 year","no",26595.0,151
"a00000030",0,59,"male",45,28,1,0,"1-2 year","no",2630.0,122
"a00000031",0,46,"male",154,33,1,1,"1-2 year","no",36277.0,122
"a00000032",1,41,"female",35,28,1,0,"1-2 year","yes",34809.0,122
"a00000033",0,35,"female",269,14,1,0,"1-2 year","yes",52979.0,154
"a00000034",0,69,"female",54,46,1,1,"1-2 year","no",2630.0,122
"a00000035",0,65,"male",39,28,1,0,"1-2 year","no",66875.0,122
"a00000036",0,24,"female",256,37,1,0,"< 1 year","yes",23535.0,151
"a00000037",0,57,"female",227,4,1,0,"1-2 year","yes",31792.0,163
"a00000038",0,64,"male",27,28,1,0,"1-2 year","yes",45775.0,122
"a00000039",1,37,"female",92,7,1,0,"1-2 year","yes",2630.0,154
"a00000040",0,38,"female",247,28,1,0,"1-2 year","yes",43152.0,122
"a00000041",0,57,"male",134,46,1,1,"1-2 year","no",17161.0,163
"a00000042",0,27,"female",248,2,1,0,"< 1 year","yes",34218.0,154
"a00000043",0,39,"female",200,28,1,0,"1-2 year","yes",32422.0,122
"a00000044",0,27,"male",64,35,1,1,"< 1 year","no",2630.0,151
"a00000045",0,35,"male",38,28,1,1,"1-2 year","no",51534.0,122
"a00000046",0,39,"female",131,41,1,0,"1-2 year","no",32056.0,154
"a00000047",0,39,"male",205,46,1,0,"1-2 year","yes",2630.0,154
"a00000048",0,58,"male",166,8,1,0,"1-2 year","yes",44611.0,163
"a00000049",0,39,"female",13,28,1,0,"1-2 year","yes",40394.0,154
"a00000050",0,42,"female",265,50,1,0,"1-2 year","yes",30393.0,154
"a00000051",0,67,"female",71,28,1,0,"1-2 year","yes",27496.0,122
"a00000052",0,42,"male",208,7,1,0,"1-2 year","yes",2630.0,154
"a00000053",0,42,"female",287,28,1,0,"1-2 year","yes",2630.0,163
"a00000054",0,23,"female",200,16,1,0,"< 1 year","yes",29600.0,151
"a00000055",0,25,"male",29,14,1,1,"< 1 year","no",29276.0,151
"a00000056",0,41,"male",76,28,1,0,"1-2 year","yes",65299.0,122
"a00000057",0,39,"male",46,28,1,0,"1-2 year","yes",27282.0,122
"a00000058",0,62,"male",280,28,1,0,"1-2 year","yes",55118.0,122
"a00000059",0,41,"male",199,28,1,0,"1-2 year","no",33902.0,122
"a00000060",0,23,"female",28,5,1,0,"< 1 year","yes",26382.0,151
"a00000061",0,72,"female",187,8,1,1,"1-2 year","no",48783.0,122
"a00000062",0,23,"female",184,37,1,1,"< 1 year","no",43181.0,151
"a00000063",0,42,"male",265,12,1,0,"1-2 year","yes",2630.0,154
"a00000064",0,23,"male",69,47,1,1,"< 1 year","no",34889.0,151
"a00000065",1,42,"female",162,28,1,0,"1-2 year","yes",43990.0,122
"a00000066",1,22,"female",122,33,1,0,"< 1 year","yes",29057.0,163
"a00000067",0,64,"female",17,28,1,0,"1-2 year","yes",52620.0,122
"a00000068",0,28,"male",171,8,1,1,"< 1 year","no",39044.0,151
"a00000069",0,32,"female",226,46,1,1,"< 1 year","no",49200.0,151
"a00000070",1,66,"male",111,28,1,0,"> 2 years","yes",44820.0,122
"a00000071",0,78,"female",152,28,1,0,"1-2 year","yes",49612.0,122
"a00000072",0,70,"female",215,28,1,0,"> 2 years","yes",50904.0,122
"a00000073",0,43,"female",255,28,1,0,"1-2 year","yes",2630.0,122
"a00000074",0,23,"male",211,8,1,1,"< 1 year","no",2630.0,151
"a00000075",1,48,"female",196,8,1,0,"1-2 year","yes",48500.0,122
"a00000076",0,24,"female",53,39,1,0,"< 1 year","no",29879.0,151
"a00000077",1,61,"female",265,28,1,0,"> 2 years","yes",41699.0,122
"a00000078",0,23,"female",50,41,1,1,"< 1 year","no",33146.0,151
"a00000079",0,63,"male",129,28,1,1,"1-2 year","no",41766.0,122
"a00000080",0,24,"male",38,28,1,1,"< 1 year","no",28660.0,151
"a00000081",0,63,"male",268,46,1,1,"1-2 year","no",24431.0,122
"a00000082",0,69,"female",67,28,1,1,"1-2 year","no",38728.0,122
"a00000083",1,42,"male",213,50,1,0,"1-2 year","yes",22445.0,154
"a00000084",0,37,"male",163,28,1,0,"> 2 years","yes",41164.0,122
"a00000085",1,30,"female",132,33,1,0,"1-2 year","yes",34464.0,154
"a00000086",0,40,"male",35,45,1,0,"> 2 years","yes",25003.0,154
"a00000087",0,52,"male",133,28,1,0,"1-2 year","yes",38643.0,122
"a00000088",0,42,"female",87,33,1,0,"1-2 year","yes",42926.0,163
"a00000089",0,34,"female",203,28,1,1,"1-2 year","no",47814.0,151
"a00000090",0,43,"male",179,28,1,0,"1-2 year","yes",37959.0,163
"a00000091",1,32,"female",287,28,1,0,"1-2 year","yes",29642.0,154
"a00000092",0,65,"male",159,28,1,0,"1-2 year","yes",2630.0,122
"a00000093",0,65,"female",54,28,1,0,"> 2 years","yes",42723.0,122
"a00000094",0,33,"male",249,34,1,0,"1-2 year","yes",33945.0,154
"a00000095",0,50,"female",91,28,1,0,"1-2 year","yes",29458.0,122
"a00000096",1,50,"female",241,40,1,0,"1-2 year","yes",25560.0,163
"a00000097",0,41,"male",164,28,1,1,"1-2 year","no",36717.0,122
"a00000098",0,29,"male",216,41,1,0,"< 1 year","yes",38122.0,163
"a00000099",0,46,"male",72,28,1,1,"1-2 year","no",33626.0,122
"a00000100",0,35,"male",109,28,1,0,"1-2 year","yes",24357.0,154
"a00000101",0,77,"female",12,28,1,0,"1-2 year","yes",37233.0,122
"a00000102",0,41,"female",90,7,1,0,"1-2 year","yes",36056.0,122
"a00000103",0,53,"male",96,28,1,1,"1-2 year","no",32487.0,122
"a00000104",0,67,"female",117,28,1,0,"1-2 year","no",63537.0,122
"a00000105",0,20,"female",60,22,1,1,"< 1 year","no",30390.0,163
"a00000106",0,52,"male",56,46,1,1,"1-2 year","no",2630.0,122
"a00000107",0,44,"male",261,19,1,0,"1-2 year","yes",27499.0,122
"a00000108",0,24,"female",282,50,1,0,"< 1 year","no",29549.0,151
"a00000109",0,51,"male",65,41,1,0,"1-2 year","yes",2630.0,163
"a00000110",0,26,"male",116,28,1,0,"< 1 year","yes",81773.0,122
"a00000111",0,39,"female",13,28,1,0,"1-2 year","yes",2630.0,122
"a00000112",0,23,"male",116,15,1,0,"< 1 year","yes",22595.0,151
"a00000113",0,23,"female",262,25,1,1,"< 1 year","no",2630.0,151
"a00000114",0,28,"male",11,28,1,1,"< 1 year","yes",21922.0,154
"a00000115",0,37,"male",43,28,1,1,"1-2 year","no",45395.0,122
"a00000116",0,52,"male",189,28,1,0,"1-2 year","yes",43585.0,122
"a00000117",1,23,"male",143,28,1,0,"< 1 year","yes",40079.0,151
"a00000118",0,61,"male",48,28,1,0,"> 2 years","yes",43607.0,154
"a00000119",0,66,"male",147,29,1,0,"1-2 year","yes",40331.0,163
"a00000120",0,34,"male",216,28,1,1,"1-2 year","no",2630.0,122
"a00000121",0,24,"male",87,15,1,0,"< 1 year","no",39290.0,151
"a00000122",0,44,"male",261,46,1,1,"1-2 year","no",30654.0,122
"a00000123",1,49,"female",122,28,1,0,"1-2 year","yes",28497.0,163
"a00000124",0,65,"male",277,28,1,1,"1-2 year","no",40628.0,122
"a00000125",1,32,"male",224,13,1,0,"1-2 year","yes",29796.0,163
"a00000126",0,32,"male",196,14,1,0,"< 1 year","yes",19812.0,154
"a00000127",1,61,"male",200,28,1,0,"1-2 year","yes",2630.0,163
"a00000128",0,58,"female",79,28,1,0,"1-2 year","yes",60446.0,122
"a00000129",0,31,"female",13,3,1,1,"< 1 year","no",20423.0,151
"a00000130",0,23,"male",207,28,1,0,"< 1 year","yes",29255.0,163
"a00000131",1,44,"male",165,19,1,0,"1-2 year","yes",2630.0,122
"a00000132",0,60,"male",102,28,1,0,"> 2 years","yes",56046.0,122
"a00000133",0,43,"male",154,7,1,1,"1-2 year","no",56234.0,122
"a00000134",0,39,"female",243,35,1,0,"1-2 year","yes",39811.0,154
"a00000135",0,37,"male",280,3,1,0,"1-2 year","yes",20135.0,163
"a00000136",0,60,"male",293,20,1,0,"1-2 year","yes",2630.0,122
"a00000137",0,22,"male",200,12,1,0,"1-2 year","yes",2630.0,154
"a00000138",0,40,"male",174,28,1,0,"> 2 years","yes",27371.0,122
"a00000139",0,80,"male",78,28,1,0,"1-2 year","yes",56478.0,122
"a00000140",0,62,"male",69,8,1,0,"> 2 years","yes",33660.0,154
"a00000141",0,51,"male",91,8,1,1,"1-2 year","no",32263.0,163
"a00000142",0,45,"male",175,28,0,1,"1-2 year","no",40668.0,122
"a00000143",0,28,"female",48,29,1,1,"1-2 year","no",35147.0,154
"a00000144",0,48,"female",278,0,1,0,"1-2 year","yes",2630.0,122
"a00000145",0,21,"female",103,11,1,0,"< 1 year","yes",2630.0,163
"a00000146",1,21,"male",74,28,1,0,"< 1 year","yes",26116.0,163
"a00000147",0,59,"male",279,28,1,0,"1-2 year","yes",33167.0,122
"a00000148",0,56,"male",275,28,1,0,"> 2 years","yes",46942.0,163
"a00000149",1,64,"male",115,28,1,0,"1-2 year","yes",42924.0,122
"a00000150",0,57,"female",282,28,1,1,"1-2 year","no",36978.0,122
"a00000151",0,61,"male",165,28,1,0,"> 2 years","yes",49792.0,122
"a00000152",0,33,"male",288,41,1,0,"1-2 year","yes",24725.0,154
"a00000153",1,50,"female",57,28,1,0,"> 2 years","yes",46647.0,122
"a00000154",0,25,"male",110,25,1,0,"< 1 year","yes",18583.0,151
"a00000155",0,47,"female",214,28,1,0,"1-2 year","yes",49931.0,122
"a00000156",0,23,"male",102,47,1,1,"< 1 year","no",40327.0,151
"a00000157",0,23,"female",77,11,1,0,"< 1 year","no",36468.0,151
"a00000158",1,53,"male",258,36,1,0,"1-2 year","yes",2630.0,163
"a00000159",0,31,"female",35,28,1,0,"1-2 year","yes",35335.0,154
"a00000160",1,24,"female",269,33,1,0,"1-2 year","yes",27127.0,163
"a00000161",0,69,"female",254,28,1,0,"1-2 year","yes",30381.0,122
